dimension,n_points,dataset,method,support_error,volume_ratio,volume_true,volume_approx,membership_acc,runtime_ms,n_vertices,status
5,1000,uniform_cube,DeepHull-original,1.2720277539714753,0.1492495043896913,22.34316333959271,3.334706054932132,0.4028,22498.35437303409,105,ok
5,1000,uniform_cube,DeepHull-convex,0.0,1.0,22.15965959083933,22.15965959083933,1.0,37851.54225397855,1000,ok
5,1000,gaussian,Extents,0.12721233714492342,0.9162790697674417,91.9568406079382,84.25812837099453,0.9908,137.24991073831916,97,ok
5,1000,gaussian,MVEE,0.5887097965763721,0.9457735247208929,89.39060319562365,84.5432658612517,0.9916,5663.420785218477,110,ok
5,1000,gaussian,DeepHull-original,1.840254023494441,0.17412935323383086,85.96895331253756,14.969718238501567,0.9004,24293.25464181602,119,ok
5,1000,gaussian,DeepHull-convex,0.0,1.0,88.53519072485213,88.53519072485213,1.0,36417.94371698052,1000,ok
5,1000,anisotropic_cond1,Extents,0.20785613956993476,0.9854469854469854,1021.2583760160625,1006.3959880075126,0.9984,108.48337365314364,99,ok
5,1000,anisotropic_cond1,MVEE,0.18996540844030463,0.9887892376681614,946.9464359733137,936.3304445386352,0.9984,6127.243273891509,113,ok
5,1000,anisotropic_cond1,DeepHull-original,2.2178391511004785,0.19419642857142855,951.192832547185,184.71825096340422,0.923,23136.107669677585,122,ok
5,1000,anisotropic_cond1,DeepHull-convex,0.0,1.0,1057.352746893969,1057.352746893969,1.0,37737.558904103935,1000,ok
5,1000,anisotropic_cond10,Extents,0.2820111730702646,0.9435294117647057,373850.1619553901,352738.6233979092,0.994,153.8046500645578,88,ok
5,1000,anisotropic_cond10,MVEE,1.696195583448489,0.9525959367945824,389683.8158735007,371211.219635705,0.995,6852.191892918199,95,ok
5,1000,anisotropic_cond10,DeepHull-original,8.615007043713614,0.2707423580786026,402878.5274719263,109076.2825469844,0.9408,23217.496548313648,113,ok
5,1000,anisotropic_cond10,DeepHull-convex,0.0,1.0,367692.6298761248,367692.6298761248,1.0,38604.508861899376,1000,ok
5,1000,anisotropic_cond100,Extents,1.6613606833789412,0.49086757990867574,99947854.66601197,49061161.53696934,0.9592,151.70313324779272,44,ok
5,1000,anisotropic_cond100,MVEE,14.128958263182355,0.44036697247706413,99491471.76799366,43812758.20975867,0.9464,6401.565284002572,37,ok
5,1000,anisotropic_cond100,DeepHull-original,117.48287090242866,0.2691358024691358,92417536.8487097,24872867.941998415,0.9342,22924.18222501874,121,ok
5,1000,anisotropic_cond100,DeepHull-convex,0.0,1.0,99719663.21700282,99719663.21700282,1.0,37336.53231523931,1000,ok
8,200,uniform_cube,Extents,0.2036925061253454,0.9770114942528737,16.37727299861804,16.000783964167052,0.9992,19.79467971250415,153,ok
8,200,uniform_cube,MVEE,0.10577964310334043,0.9855072463768118,16.23608961069892,16.000783964167052,0.9998,157.87225309759378,157,ok
8,200,uniform_cube,DeepHull-original,1.231727859055626,0.3676470588235294,16.000783964167052,5.88264116329671,0.9586,5482.323694974184,129,ok
8,200,uniform_cube,DeepHull-convex,4.440892098500626e-16,1.0,15.85960057624793,15.85960057624793,1.0,8974.336598068476,200,ok
8,200,gaussian,Extents,0.2507371953193147,1.0,26.24946673556064,26.24946673556064,0.9994,25.470671709626913,100,ok
8,200,gaussian,MVEE,0.3654152760147722,0.6666666666666667,15.749680041336383,10.499786694224257,0.9998,186.71719916164875,97,ok
8,200,gaussian,DeepHull-original,1.2309796037175882,0.5,41.99914677689703,20.999573388448514,0.9992,6037.798602133989,137,ok
8,200,gaussian,DeepHull-convex,4.440892098500626e-16,1.0,57.74882681823341,57.74882681823341,1.0,8219.058082904667,200,ok
8,200,anisotropic_cond1,Extents,0.23253692364174205,1.0,2388.291283731942,2388.291283731942,1.0,23.566955234855413,96,ok
8,200,anisotropic_cond1,MVEE,0.47205804671435914,1.0,1940.4866680322025,1940.4866680322025,0.9998,155.15471529215574,111,ok
8,200,anisotropic_cond1,DeepHull-original,1.2211284332808736,0.6428571428571429,2089.7548732654486,1343.413847099217,0.9996,5259.912974201143,132,ok
8,200,anisotropic_cond1,DeepHull-convex,8.881784197001252e-16,1.0,1343.413847099217,1343.413847099217,1.0,8460.847551003098,200,ok
8,200,anisotropic_cond10,Extents,1.0952301417660966,0.7499999999999999,12582478.836714324,9436859.127535742,0.9994,22.846493870019913,77,ok
8,200,anisotropic_cond10,MVEE,3.589853967083556,0.75,18873718.255071484,14155288.691303613,0.999,160.09111795574427,71,ok
8,200,anisotropic_cond10,DeepHull-original,9.00220435878241,0.39999999999999997,15728098.545892905,6291239.418357162,0.9988,5511.910559143871,116,ok
8,200,anisotropic_cond10,DeepHull-convex,1.7763568394002505e-15,1.0,14155288.691303613,14155288.691303613,1.0,8254.182564094663,200,ok
8,200,anisotropic_cond100,Extents,5.041636674587501,0.23076923076923075,275971845276.9567,63685810448.52847,0.9984,24.87123804166913,51,ok
8,200,anisotropic_cond100,MVEE,23.236390926777503,0.4666666666666667,318429052242.6424,148600224379.89978,0.9972,165.51152197644114,48,ok
8,200,anisotropic_cond100,DeepHull-original,70.83927767698057,0.2,212286034828.42825,42457206965.68565,0.9986,5195.97232202068,126,ok
8,200,anisotropic_cond100,DeepHull-convex,5.684341886080802e-14,1.0,297200448759.79956,297200448759.79956,1.0,9026.718362234533,200,ok
